,Year,Bearing Acres,Volume (Millions of Pounds),Crop Value ($),Price Per Pound (cents),Average $ per Acre,Average Lbs Per Acre
0,71/72,19039,51.7,"$24,608,846",47.58,"$1,293",2715
1,72/73,19611,139.9,"$38,188,186",27.28,"$1,947",7134
2,73/74,20741,105.9,"$41,997,543",39.63,"$2,025",5106
3,74/75,20715,208.7,"$49,529,969",23.73,"$2,391",10075
4,75/76,24882,116.0,"$61,000,794",52.6,"$2,452",4662
5,76/77,29041,239.1,"$71,220,507",29.78,"$2,452",8233
6,77/78,33866,213.4,"$79,685,614",37.33,"$2,353",6301
7,78/79,39802,246.2,"$85,359,795",34.67,"$2,145",6186
8,79/80,44369,148.4,"$111,003,231",74.79,"$2,502",3345
9,80/81,47831,475.5,"$84,963,825",17.87,"$1,776",9941
10,81/82,64798,312.6,"$107,740,745",34.47,"$1,663",4824
11,82/83,69448,402.8,"$92,622,286",22.99,"$1,334",5800
12,83/84,72296,492.5,"$91,102,869",18.5,"$1,260",6812
13,84/85,72861,396.9,"$115,562,999",29.1,"$1,586",5447
14,85/86,74131,319.2,"$162,095,058",50.78,"$2,187",4306
15,86/87,74812,555.6,"$93,875,414",16.9,"$1,255",7427
16,87/88,76307,358.1,"$203,796,649",56.91,"$2,671",4693
17,88/89,75062,329.6,"$207,124,111",62.84,"$2,759",4391
18,89/90,73368,207.9,"$237,547,848",114.23,"$3,238",2834
19,90/91,71007,271.5,"$193,188,395",71.16,"$2,721",3824
20,91/92,69582,310.9,"$182,596,792",58.73,"$2,624",4468
21,92/93,68159,569.8,"$117,939,346",20.7,"$1,730",8360
22,93/94,66865,271.0,"$251,086,521",92.67,"$3,755",4053
23,94/95,61254,304.2,"$227,313,720",74.73,"$3,711",4966
24,95/96,61125,340.4,"$235,225,728",69.1,"$3,848",5569
25,96/97,60674,329.1,"$258,991,040",78.71,"$4,269",5424
26,97/98,59895,304.9,"$261,126,590",85.64,"$4,360",5091
27,98/99,59385,271.5,"$328,745,982",121.09,"$5,536",4572
28,99/00,58987,321.1,"$339,443,632",105.71,"$5,755",5444
29,00/01,58601,422.3,"$314,919,286",74.57,"$5,374",7206
30,01/02,58227,399.7,"$357,785,350",89.51,"$6,145",6865
31,02/03,59326,335.2,"$363,104,986",108.32,"$6,121",5650
32,03/04,60566,431.8,"$379,846,520",87.97,"$6,272",7129
33,04/05,61712,300.4,"$275,034,420",91.55,"$4,457",4868
34,05/06,62093,600.9,"$341,175,673",56.78,"$5,495",9677
35,06/07,64999,259.3,"$244,911,167",94.45,"$3,768",3989
36,07/08,65497,328.8,"$327,141,689",99.5,"$4,995",5020
37,08/09,64555,174.5,"$199,625,988",114.4,"$3,092",2703
38,09/10,58268,534.5,"$402,770,893",75.35,"$6,912",9173
39,10/11,57532,302.5,"$460,209,682",152.1,"$7,999",5258
40,11/12,59629,462.3,"$381,852,467",82.6,"$6,404",7753
41,12/13,57838,500.2,"$435,023,142",87.0,"$7,521",8648
42,13/14,57219,297.5,"$333,216,563",112.0,"$5,823",5199
43,14/15,51478,279.0,"$303,160,400",108.6,"$5,889",5420
44,15/16,51902,401.4,"$412,332,493",102.7,"$7,944",7733
45,16/17,50856,215.9,"$345,875,896",160.2,"$6,801",4245
46,17/18,49986,337.8,"$383,129,253",113.4,"$7,665",6758
