Index,Week,Historical4YearForecast,AMRICProjection,AMRICActualHarvest,AMRICActualShipments,CropSizeIndicator
0,Jan 6 - (10),71093,19300,,14249,
1,Jan 13 - (11),429349,100900,93307,27150,
2,Jan 20 - (12),733951,153600,41961,41200,
3,Jan 27- (13),1529966,231700,332623,92431,
4,Feb 3 - (14),1549775,271100,233836,174276,
5,Feb 10 - (15),1427131,225300,133856,158608,
6,Feb 17 - (16 ),1476625,233300,226626,252788,
7,Feb 24 - (17),1832114,285300,420995,383031,
8,Mar 3  - (18),2758217,995200,716519,628068,
9,Mar 10 - (19),3376290,1213500,580720,564093,
10,Mar 17 - (20),4280515,1515600,1149730,698237,
11,Mar 24 - (21),4232102,1491600,1620622,940416,
12,Mar 31 - (22 ),5271164,1834100,3537471,1747653,
13,Apr 7 - (23),5750819,8579700,8256079,4191696,
14,Apr 14 - (24),6555329,9759200,11604261,5831398,
15,Apr 21 - (25),7092633,10546100,10304053,5878068,
16,Apr 28 - (26),8157305,12115600,9844728,7945623,
17,May 5 - (27),8386056,7299800,7519597,9688008,
18,May 12 - (28),7694000,6695000,6934469,9527653,
19,May 19- (291,7355372,6401600,10031829,10140349,
20,May 26 - (30),8180321,7119600,11799931,11102573,
21,Jun 2 - (31 ),7648747,6656300,9725414,8380505,192361719
22,Jun 9-(32),6794936,8693500,10753155,11084147,193398228
23,Jun 16 - (33),7174220,9174700,11305158,10449531,196024662
24,Jun 23 - (34),7439590,9502600,12949517,11875141,199072642
25,Jun 30 - (35),7044822,8933400,14126304,12435425,204262885
26,Jul 7 - (36),7183374,7654800,13056239,13325006,209399586
27,Jul 14 - (37),6864306,7283300,13196924,12125979,214721313
28,Jul 21- (38),7056509,7483600,10199390,11270316,215612788
29,Jul 28 - (39),5684434,6043600,7775647,10462878,215739259
30,Aug 4 - (40),4904787,4741000,5571768,7768763,215245835
31,Aug 11 - (41),4180595,4040700,4332022,6479019,214398380
32,Aug 18 - (42),3655708,3531300,3980064,5583347,213897876
33,Aug 25 - (43),2905312,2805900,3103562,4740909,213454376
34,Sep 1 - (44),2336529,2256400,2302827,4062457,212910891
35,Sep 8 - (45),1527122,1245200,1132053,2441347,212476102
36,Sep 15 - (46),1095437,886900,1177604,2037644,212327902
37,Sep 22 - (47),1071316,855200,738963,1267958,212213552
38,Sep 29 - (48),868897,693500,631328,921499,211978578
39,Oct 6 - (49),440852,101500,490984,749759,212343706
40,Oct 13 - (50),264855,49200,175308,508978,212457747
41,Oct 20 - (51),121110,21500,,377456,212430837
42,Oct 27 - (52),119054,19800,,172391,212406060
43,Nov 3 - (1 ),69753,11400,,9376,212393212
44,Nov 10 - (2 ),5131,5000,4309,6810,212385542
45,Nov 17 - (3),2566,2500,4394,,212382415
46,Nov 24 - (4),27189,26700,,,212349020
47,Dec 1 - (5),27129,26800,14005,5112,212338242
48,Dec 8 - (6),18486,8400,,5389,212327740
49,Dec 15 - (7),50515,59100,20251,19813,212274144
50,Dec 22 - (8 ),148063,56300,,,
51,Dec 29 - (9),128529,42800,,,
