Week,Status,Total Volume,California,Chile,Mexico,Peru
1-Jan-17,Actual,"35,100,521","49,737","1,023,459","34,027,325",0
8-Jan-17,Actual,"40,920,289","157,060","1,526,467","39,236,762",0
15-Jan-17,Actual,"53,723,606","215,612","1,468,592","52,039,402",0
22-Jan-17,Actual,"55,606,793","827,113","1,445,898","53,333,782",0
29-Jan-17,Actual,"44,287,021","1,027,998","1,111,063","42,147,960",0
5-Feb-17,Actual,"33,324,176","1,234,162","1,156,233","30,933,781",0
12-Feb-17,Actual,"29,256,370","295,324","1,010,628","27,950,418",0
19-Feb-17,Actual,"40,699,051","1,133,648","1,037,626","38,527,777",0
26-Feb-17,Actual,"48,035,005","2,323,343","1,022,209","44,689,453",0
5-Mar-17,Actual,"45,969,740","3,944,362","1,259,655","40,765,723",0
12-Mar-17,Actual,"42,506,349","5,095,482","693,232","36,717,635",0
19-Mar-17,Actual,"43,191,329","6,280,357","366,982","36,543,990",0
26-Mar-17,Actual,"36,467,878","4,568,585","1,065,122","30,834,171",0
2-Apr-17,Actual,"43,025,769","6,584,821","670,685","35,770,263",0
9-Apr-17,Actual,"44,992,107","7,959,508","282,879","36,749,720",0
16-Apr-17,Actual,"31,807,605","8,641,787","192,446","22,925,372","48,000"
23-Apr-17,Actual,"50,907,992","10,323,122","236,223","40,348,647",0
30-Apr-17,Actual,"48,774,338","12,303,320","94,928","36,232,090","144,000"
7-May-17,Actual,"40,431,438","11,809,738","14,222","28,180,809","426,669"
14-May-17,Actual,"45,941,121","11,382,973",0,"31,334,422","3,223,726"
21-May-17,Actual,"47,295,023","11,646,104",0,"29,201,469","6,447,450"
28-May-17,Actual,"44,381,767","11,653,982",0,"23,293,649","9,434,136"
4-Jun-17,Actual,"41,553,016","8,860,062",0,"23,780,302","8,912,652"
11-Jun-17,Actual,"47,712,723","8,601,985",0,"24,935,830","14,174,908"
18-Jun-17,Actual,"46,754,781","7,539,339",0,"26,794,619","12,420,823"
25-Jun-17,Actual,"49,115,652","8,151,799",0,"29,664,224","11,299,629"
2-Jul-17,Actual,"40,112,503","8,203,815",0,"21,194,543","10,714,145"
9-Jul-17,Actual,"35,909,582","4,908,984",0,"21,898,316","9,102,282"
16-Jul-17,Actual,"43,964,935","9,366,792",0,"27,012,908","7,585,235"
23-Jul-17,Actual,"38,737,388","8,020,220",0,"24,269,719","6,447,449"
30-Jul-17,Actual,"35,737,537","5,730,747",0,"21,520,808","8,485,982"
6-Aug-17,Actual,"32,834,965","3,741,987","683,933","22,009,002","6,400,043"
13-Aug-17,Actual,"38,541,597","3,251,191","1,965,734","26,308,329","7,016,343"
20-Aug-17,Actual,"37,220,969","2,219,981","3,115,547","26,338,738","5,546,703"
27-Aug-17,Actual,"34,852,791","2,446,908","3,869,897","26,023,377","2,512,609"
3-Sep-17,Actual,"27,727,799","635,990","3,956,073","19,011,264","4,124,472"
10-Sep-17,Actual,"37,288,639","269,077","6,306,792","24,869,769","5,843,001"
17-Sep-17,Actual,"38,720,151","26,838","6,865,930","30,616,116","1,211,267"
24-Sep-17,Actual,"40,563,689","10,800","7,694,083","32,716,583","142,223"
1-Oct-17,Actual,"35,114,392","2,775","5,687,980","29,423,637",0
8-Oct-17,Actual,"35,750,278",0,"4,617,100","31,133,178",0
15-Oct-17,Actual,"34,628,272",0,"3,547,870","31,080,402",0
22-Oct-17,Actual,"33,690,454",0,"5,143,557","28,546,897",0
29-Oct-17,Actual,"44,354,111",0,"2,310,849","42,043,262",0
5-Nov-17,Actual,"40,739,925",0,"2,131,943","38,607,982",0
12-Nov-17,Actual,"45,140,019",0,"1,768,242","43,371,777",0
19-Nov-17,Actual,"37,021,744",0,"1,532,521","35,489,223",0
26-Nov-17,Actual,"27,401,855",0,"1,139,829","26,262,026",0
3-Dec-17,Actual,"31,695,943",0,"560,018","31,135,925",0
10-Dec-17,Actual,"39,584,647",0,"836,794","38,747,853",0
17-Dec-17,Actual,"45,594,447","39,213","491,040","45,064,194",0
24-Dec-17,Actual,"53,578,938","356,516","451,476","52,770,946",0
31-Dec-17,Actual,"40,464,870","234,104","539,815","39,690,951",0
7-Jan-18,Actual,"45,670,156","899,349","519,433","44,251,374",0
14-Jan-18,Actual,"52,758,905","830,821","449,003","51,479,081",0
21-Jan-18,Actual,"54,698,266","2,913,663","445,127","51,339,476",0
28-Jan-18,Actual,"45,299,201","2,698,356","95,491","42,505,354",0
4-Feb-18,Actual,"47,371,481","2,635,471",0,"44,736,010",0
11-Feb-18,Actual,"39,307,402","3,039,843",0,"36,267,559",0
18-Feb-18,Actual,"51,204,346","4,264,449",0,"46,939,897",0
25-Feb-18,Actual,"53,018,743","5,031,685",0,"47,987,058",0
4-Mar-18,Actual,"50,628,975","4,863,680",0,"45,765,295",0
11-Mar-18,Actual,"52,057,338","6,816,044",0,"45,241,294",0
18-Mar-18,Actual,"51,922,869","4,143,387",0,"47,779,482",0
25-Mar-18,Actual,"45,807,126","4,997,613",0,"40,809,513",0
1-Apr-18,Actual,"39,158,603","8,244,614",0,"30,913,989",0
8-Apr-18,Actual,"57,742,874","10,978,270",0,"46,764,604",0
15-Apr-18,Actual,"65,017,211","13,069,634",0,"51,947,577",0
22-Apr-18,Actual,"66,889,496","14,568,602",0,"52,320,894",0
29-Apr-18,Actual,"57,879,711","16,473,176",0,"41,406,535",0
6-May-18,Actual,"43,454,036","13,377,497",0,"29,744,685","331,854"
13-May-18,Actual,"49,634,250","13,013,238",0,"36,478,789","142,223"
20-May-18,Actual,"54,804,644","13,573,634",0,"40,946,564","284,446"
27-May-18,Actual,"58,216,425","14,293,995",0,"41,926,134","1,996,296"
3-Jun-18,Actual,"54,230,134","9,832,339",0,"39,826,579","4,571,216"
10-Jun-18,Actual,"54,216,347","12,776,858",0,"35,859,311","5,580,178"
17-Jun-18,Actual,"50,646,896","12,202,533",0,"31,575,868","6,868,495"
24-Jun-18,Actual,"49,126,245","11,017,628",0,"30,306,824","7,801,793"
1-Jul-18,Actual,"59,868,501","13,034,205",0,"37,779,422","9,054,874"
8-Jul-18,Actual,"54,802,659","11,546,402",0,"34,059,160","9,197,097"
15-Jul-18,Actual,"52,741,471","13,081,786",0,"27,618,124","12,041,561"
22-Jul-18,Actual,"43,482,853","8,956,463",0,"22,437,422","12,088,968"
29-Jul-18,Actual,"49,443,206","6,963,066",0,"25,600,735","16,879,405"
5-Aug-18,Actual,"52,948,354","6,652,168",0,"29,039,776","17,256,410"
12-Aug-18,Actual,"56,626,601","7,234,836",0,"34,221,295","15,170,470"
19-Aug-18,Actual,"56,452,066","8,625,095","331,267","34,031,913","13,463,791"
26-Aug-18,Actual,"48,011,570","8,826,173","705,204","25,537,886","12,942,307"
2-Sep-18,Actual,"38,516,499","5,955,763","1,833,426","17,927,226","12,800,084"
9-Sep-18,Actual,"44,091,358","3,157,120","1,505,218","30,089,700","9,339,320"
16-Sep-18,Actual,"51,398,671","3,782,736","6,299,540","35,153,392","6,163,003"
23-Sep-18,Actual,"49,322,205","3,042,322","5,695,958","36,691,752","3,892,173"
30-Sep-18,Actual,"39,213,471","1,962,416","5,315,922","29,517,339","2,417,794"
7-Oct-18,Actual,"44,622,910","1,459,548","4,141,118","38,216,313","805,931"
14-Oct-18,Actual,"43,609,892","798,732","3,241,640","39,427,297","142,223"
21-Oct-18,Actual,"41,484,288","786,902","2,002,066","38,695,320",0
28-Oct-18,Actual,"43,424,770","332,800","2,480,207","40,611,763",0
4-Nov-18,Actual,"15,760,324",0,"2,283,410","13,476,914",0
11-Nov-18,Actual,"7,175,415",0,"2,322,562","4,852,853",0
18-Nov-18,Actual,"44,931,673",0,"3,513,150","41,418,523",0
25-Nov-18,Actual,"70,104,497",0,"1,834,643","68,269,854",0
2-Dec-18,Actual,"55,202,354",0,"2,377,770","52,824,584",0
9-Dec-18,Actual,"55,009,729",0,"3,544,679","51,465,050",0
16-Dec-18,Actual,"50,045,775","1,900","3,218,701","46,825,174",0
23-Dec-18,Actual,"47,448,337",950,"2,105,644","45,341,743",0
30-Dec-18,Actual,"33,740,596","1,800","1,856,008","31,882,788",0
6-Jan-19,Actual,"39,644,522",0,"1,111,244","38,533,278",0
13-Jan-19,Actual,"73,115,987","71,558","1,154,459","71,889,970",0
20-Jan-19,Actual,"73,262,502","35,452","681,725","72,545,325",0
27-Jan-19,Actual,"59,200,492","306,018","676,866","58,217,608",0
3-Feb-19,Actual,"45,231,823","225,945","584,756","44,421,122",0
10-Feb-19,Actual,"39,391,270","129,957","497,035","38,764,278",0
17-Feb-19,Actual,"52,838,523","218,968","410,166","52,209,389",0
24-Feb-19,Actual,"60,985,301","397,103","184,891","60,355,899","47,407"
3-Mar-19,Actual,"56,315,469","689,283","223,611","55,402,575",0
10-Mar-19,Actual,"55,687,317","563,806","224,208","54,899,303",0
17-Mar-19,Actual,"57,661,257","1,115,176","45,885","56,500,196",0
24-Mar-19,Actual,"47,860,338","1,571,282",0,"46,289,056",0
31-Mar-19,Actual,"57,772,402","3,431,234",0,"54,341,168",0
7-Apr-19,Actual,"66,309,565","7,995,697",0,"58,313,868",0
14-Apr-19,Actual,"71,757,754","11,103,220",0,"60,654,534",0
21-Apr-19,Actual,"41,226,066","9,894,095",0,"31,142,340","189,631"
28-Apr-19,Actual,"43,710,990","9,434,335",0,"33,470,724","805,931"
5-May-19,Actual,"37,778,586","7,274,131",0,"29,034,816","1,469,639"
12-May-19,Actual,"45,314,468","6,719,247",0,"36,841,135","1,754,085"
19-May-19,Actual,"50,595,179","9,208,998",0,"36,977,263","4,408,917"
26-May-19,Actual,"53,448,347","11,609,804",0,"35,628,132","6,210,411"
2-Jun-19,Actual,"48,758,242","9,115,908",0,"29,686,713","9,955,620"
9-Jun-19,Actual,"44,060,017","10,069,551",0,"22,660,021","11,330,445"
16-Jun-19,Actual,"43,165,973","10,904,000",0,"18,987,812","13,274,161"
23-Jun-19,Actual,"43,112,741","12,526,752",0,"12,902,910","17,683,079"
30-Jun-19,Actual,"38,519,597","13,700,507",0,"8,653,058","16,166,032"
7-Jul-19,Actual,"51,446,909","12,657,672",0,"21,024,383","17,764,854"
14-Jul-19,Actual,"54,169,319","12,772,597",0,"23,998,089","17,398,633"
